Country Name;Country Code;Indicator Name;Indicator Code;2013;2014;2015;2016;2017;2018;2019
Libye;LBY;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;0;0;0;0;0;0;0
Sainte-Lucie;LCA;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;5;5;5;5;5;5;5
Amérique latine et Caraïbes;LCN;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;4,242424242;4,696969697;5,151515152;5,151515152;5,212121212;5,242424242;5,242424242
Pays les moins avancés: classement de l’ONU;LDC;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;4,372093023;4,488372093;4,5;4,636363636;4,886363636;5,068181818;5,090909091
Faible revenu;LIC;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;4,291666667;4,333333333;4,36;4,6;4,72;4,88;4,8
Liechtenstein;LIE;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;;;;;;3;3
Sri Lanka;LKA;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;2;2;2;2;2;2;2
Revenu intermédiaire, tranche inférieure;LMC;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;4,240740741;4,296296296;4,388888889;4,518518519;4,944444444;5,166666667;5,648148148
Revenu faible et intermédiaire;LMY;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;4,496124031;4,612403101;4,807692308;4,953846154;5,338461538;5,530769231;5,761538462
Lesotho;LSO;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;5;5;5;5;5;5;5
de dividende tardif démographique;LTE;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;4,979166667;5,229166667;5,458333333;5,583333333;6,083333333;6,291666667;6,416666667
Lituanie;LTU;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;6;6;6;6;6;6;6
Luxembourg;LUX;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;3;3;3;3;3;3;3
Lettonie;LVA;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;9;9;9;9;9;9;9
Région administrative spéciale de Macao, Chine;MAC;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;;;;;;;
Saint-Martin (fr);MAF;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;;;;;;;
Maroc;MAR;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;2;2;2;2;2;2;2
